#1
double	Pel(35040,2)
0	0.1185
900	0.1089
1800	0.1009
2700	0.0933
3600	0.0860
4500	0.0789
5400	0.0724
6300	0.0667
7200	0.0621
8100	0.0589
9000	0.0566
9900	0.0550
10800	0.0539
11700	0.0528
12600	0.0516
13500	0.0507
14400	0.0498
15300	0.0489
16200	0.0483
17100	0.0479
18000	0.0477
18900	0.0477
19800	0.0478
20700	0.0482
21600	0.0487
22500	0.0494
23400	0.0503
24300	0.0514
25200	0.0528
26100	0.0548
27000	0.0580
27900	0.0636
28800	0.0726
29700	0.0854
30600	0.1012
31500	0.1185
32400	0.1356
33300	0.1517
34200	0.1664
35100	0.1797
36000	0.1916
36900	0.2024
37800	0.2122
38700	0.2215
39600	0.2310
40500	0.2406
41400	0.2496
42300	0.2571
43200	0.2621
44100	0.2636
45000	0.2616
45900	0.2562
46800	0.2475
47700	0.2360
48600	0.2224
49500	0.2082
50400	0.1948
51300	0.1829
52200	0.1729
53100	0.1644
54000	0.1574
54900	0.1518
55800	0.1470
56700	0.1429
57600	0.1388
58500	0.1348
59400	0.1318
60300	0.1309
61200	0.1337
62100	0.1405
63000	0.1505
63900	0.1618
64800	0.1730
65700	0.1827
66600	0.1910
67500	0.1987
68400	0.2061
69300	0.2134
70200	0.2195
71100	0.2229
72000	0.2216
72900	0.2152
73800	0.2050
74700	0.1936
75600	0.1833
76500	0.1760
77400	0.1707
78300	0.1664
79200	0.1615
80100	0.1553
81000	0.1476
81900	0.1389
82800	0.1294
83700	0.1197
84600	0.1100
85500	0.1004
86400	0.0911
87300	0.0843
88200	0.0758
89100	0.0684
90000	0.0622
90900	0.0576
91800	0.0543
92700	0.0522
93600	0.0509
94500	0.0500
95400	0.0494
96300	0.0491
97200	0.0487
98100	0.0484
99000	0.0481
99900	0.0477
100800	0.0477
101700	0.0479
102600	0.0484
103500	0.0490
104400	0.0499
105300	0.0510
106200	0.0537
107100	0.0595
108000	0.0695
108900	0.0848
109800	0.1032
110700	0.1221
111600	0.1390
112500	0.1516
113400	0.1602
114300	0.1654
115200	0.1680
116100	0.1688
117000	0.1680
117900	0.1659
118800	0.1629
119700	0.1592
120600	0.1553
121500	0.1514
122400	0.1483
123300	0.1462
124200	0.1448
125100	0.1442
126000	0.1442
126900	0.1447
127800	0.1458
128700	0.1479
129600	0.1514
130500	0.1563
131400	0.1615
132300	0.1658
133200	0.1680
134100	0.1673
135000	0.1641
135900	0.1595
136800	0.1545
137700	0.1498
138600	0.1456
139500	0.1417
140400	0.1380
141300	0.1345
142200	0.1315
143100	0.1290
144000	0.1276
144900	0.1274
145800	0.1286
146700	0.1316
147600	0.1370
148500	0.1446
149400	0.1542
150300	0.1653
151200	0.1774
152100	0.1899
153000	0.2022
153900	0.2134
154800	0.2230
155700	0.2302
156600	0.2346
157500	0.2354
158400	0.2323
159300	0.2252
160200	0.2152
161100	0.2043
162000	0.1939
162900	0.1856
163800	0.1787
164700	0.1725
165600	0.1660
166500	0.1585
167400	0.1502
168300	0.1412
169200	0.1317
170100	0.1221
171000	0.1124
171900	0.1028
172800	0.0934
173700	0.0884
174600	0.0851
175500	0.0823
176400	0.0790
177300	0.0743
178200	0.0686
179100	0.0630
180000	0.0582
180900	0.0548
181800	0.0528
182700	0.0517
183600	0.0509
184500	0.0503
185400	0.0498
186300	0.0493
187200	0.0488
188100	0.0484
189000	0.0481
189900	0.0478
190800	0.0478
191700	0.0481
192600	0.0488
193500	0.0503
194400	0.0529
195300	0.0569
196200	0.0623
197100	0.0690
198000	0.0769
198900	0.0860
199800	0.0962
200700	0.1075
201600	0.1194
202500	0.1321
203400	0.1445
204300	0.1559
205200	0.1651
206100	0.1717
207000	0.1761
