#1
double	presence(8760,2)
0	0.996
3600	0.996
7200	1.0
10800	1.0
14400	1.0
18000	0.996
21600	0.822
25200	0.724
28800	0.655
32400	0.552
36000	0.448
39600	0.31
43200	0.586
46800	0.655
50400	0.552
54000	0.483
57600	0.448
61200	0.483
64800	0.517
68400	0.69
72000	0.759
75600	0.793
79200	0.793
82800	0.966
86400	1.0
90000	1.0
93600	1.0
97200	1.0
100800	1.0
104400	1.0
108000	0.862
111600	0.621
115200	0.483
118800	0.172
122400	0.207
126000	0.172
129600	0.345
133200	0.517
136800	0.345
140400	0.379
144000	0.345
147600	0.448
151200	0.483
154800	0.69
158400	0.862
162000	0.862
165600	1.0
169200	1.0
172800	0.996
176400	0.996
180000	0.996
183600	1.0
187200	1.0
190800	0.996
194400	0.822
198000	0.724
201600	0.655
205200	0.552
208800	0.448
212400	0.31
216000	0.586
219600	0.655
223200	0.552
226800	0.483
230400	0.448
234000	0.483
237600	0.517
241200	0.69
244800	0.759
248400	0.793
252000	0.793
255600	0.966
259200	0.996
262800	0.996
266400	1.0
270000	1.0
273600	1.0
277200	0.996
280800	0.822
284400	0.724
288000	0.655
291600	0.552
295200	0.448
298800	0.31
302400	0.586
306000	0.655
309600	0.552
313200	0.483
316800	0.448
320400	0.483
324000	0.517
327600	0.69
331200	0.759
334800	0.793
338400	0.793
342000	0.966
345600	1.0
349200	1.0
352800	1.0
356400	1.0
360000	1.0
363600	1.0
367200	0.862
370800	0.621
374400	0.483
378000	0.172
381600	0.207
385200	0.172
388800	0.345
392400	0.517
396000	0.345
399600	0.379
403200	0.345
406800	0.448
410400	0.483
414000	0.69
417600	0.862
421200	0.862
424800	1.0
428400	1.0
432000	1.0
435600	1.0
439200	1.0
442800	1.0
446400	1.0
450000	1.0
453600	0.862
457200	0.621
460800	0.483
464400	0.172
468000	0.207
471600	0.172
475200	0.345
478800	0.517
482400	0.345
486000	0.379
489600	0.345
493200	0.448
496800	0.483
500400	0.69
504000	0.862
507600	0.862
511200	1.0
514800	1.0
518400	1.0
522000	1.0
525600	1.0
529200	1.0
532800	1.0
536400	1.0
540000	0.862
543600	0.621
547200	0.483
550800	0.172
554400	0.207
558000	0.172
561600	0.345
565200	0.517
568800	0.345
572400	0.379
576000	0.345
579600	0.448
583200	0.483
586800	0.69
590400	0.862
594000	0.862
597600	1.0
601200	1.0
604800	1.0
608400	1.0
612000	1.0
615600	1.0
619200	1.0
622800	1.0
626400	0.862
630000	0.621
633600	0.483
637200	0.172
640800	0.207
644400	0.172
648000	0.345
651600	0.517
655200	0.345
658800	0.379
662400	0.345
666000	0.448
669600	0.483
673200	0.69
676800	0.862
680400	0.862
684000	1.0
687600	1.0
691200	1.0
694800	1.0
698400	1.0
702000	1.0
705600	1.0
709200	1.0
712800	0.862
716400	0.621
720000	0.483
723600	0.172
727200	0.207
730800	0.172
734400	0.345
738000	0.517
741600	0.345
745200	0.379
748800	0.345
752400	0.448
756000	0.483
759600	0.69
763200	0.862
766800	0.862
770400	1.0
774000	1.0
777600	0.996
781200	0.996
784800	0.996
788400	1.0
792000	1.0
795600	0.996
799200	0.822
802800	0.724
806400	0.655
810000	0.552
813600	0.448
817200	0.31
820800	0.586
824400	0.655
828000	0.552
831600	0.483
835200	0.448
838800	0.483
842400	0.517
846000	0.69
